2015.02.25 19:45:37.167 | CPU ?? RAM 37 | INFO     | Thread 7192  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 19:45:37.170 | CPU ?? RAM 37 | INFO     | Thread 7192  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 19:45:38.355 | CPU ?? RAM 37 | INFO     | Thread 6392  | daq                  | DAQ initializing     | 
2015.02.25 19:45:38.355 | CPU ?? RAM 37 | INFO     | Thread 6392  | daq                  | DAQ initializing     | 
2015.02.25 19:45:38.357 | CPU ?? RAM 37 | INFO     | Thread 7664  | daq                  | DAQ initializing     | 
2015.02.25 19:45:38.467 | CPU ?? RAM 38 | INFO     | Thread 7512  | MicroHR              | MicroHR initializing | 
2015.02.25 19:45:38.494 | CPU ?? RAM 38 | INFO     | Thread 7192  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 20:05:45.509 | CPU 26 RAM 38 | INFO     | Thread 7192  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 20:05:45.513 | CPU 26 RAM 38 | INFO     | Thread 7192  | InGaAs               | InGaAs shutdown      | 
2015.02.25 20:05:45.602 | CPU 26 RAM 38 | INFO     | Thread 7192  | daq                  | DAQ shutdown         | 
2015.02.25 20:05:45.614 | CPU 26 RAM 38 | INFO     | Thread 7192  | MicroHR              | MicroHR shutdown     | 
