2015.02.26 11:27:01.926 | CPU ?? RAM 38 | INFO     | Thread 480   | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.26 11:27:01.927 | CPU ?? RAM 38 | INFO     | Thread 480   | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.26 11:27:02.911 | CPU ?? RAM 38 | INFO     | Thread 4288  | InGaAs               | InGaAs initializing  | 
2015.02.26 11:27:02.911 | CPU ?? RAM 38 | INFO     | Thread 4288  | InGaAs               | InGaAs initializing  | 
2015.02.26 11:27:02.914 | CPU ?? RAM 38 | INFO     | Thread 7180  | daq                  | DAQ initializing     | 
2015.02.26 11:27:03.190 | CPU ?? RAM 38 | INFO     | Thread 5832  | MicroHR              | MicroHR initializing | 
2015.02.26 11:27:03.289 | CPU ?? RAM 38 | INFO     | Thread 480   | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.26 11:27:07.105 | CPU ?? RAM 39 | INFO     | Thread 480   | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.26 11:27:07.111 | CPU ?? RAM 38 | INFO     | Thread 480   | InGaAs               | InGaAs shutdown      | 
2015.02.26 11:27:07.184 | CPU ?? RAM 38 | INFO     | Thread 480   | daq                  | DAQ shutdown         | 
2015.02.26 11:27:07.193 | CPU ?? RAM 38 | INFO     | Thread 480   | MicroHR              | MicroHR shutdown     | 
